Fecha;Hora share;Dia share;vistas
2013-11-11 03:53:29;3;0;5
2013-11-11 03:53:56;3;0;5
2013-11-11 03:54:07;3;0;5
2013-11-11 03:54:25;3;0;5
2013-11-11 03:54:36;3;0;4
2013-11-11 03:55:00;3;0;5
2013-11-11 03:55:12;3;0;5
2013-11-11 03:55:27;3;0;6
2013-11-11 03:55:42;3;0;6
2013-11-11 03:55:54;3;0;6
2013-11-11 04:40:01;4;0;1
2013-11-11 05:42:35;5;0;1
2013-11-11 12:10:11;12;0;7
2013-11-11 12:17:50;12;0;51
2013-11-11 13:34:32;13;0;39
2013-11-11 13:36:37;13;0;20
2013-11-11 13:43:02;13;0;5
2013-11-11 13:44:45;13;0;5
2013-11-11 13:49:45;13;0;321
2013-11-11 13:52:43;13;0;217
2013-11-11 14:12:48;14;0;12
2013-11-11 14:31:08;14;0;1
2013-11-11 14:32:20;14;0;3
2013-11-11 14:34:06;14;0;15
2013-11-11 14:35:01;14;0;7
2013-11-11 14:35:47;14;0;89
2013-11-11 14:39:55;14;0;5
2013-11-11 14:45:23;14;0;7
2013-11-11 15:05:40;15;0;3
2013-11-11 15:09:52;15;0;2
2013-11-11 15:11:24;15;0;1
2013-11-11 15:13:08;15;0;1
2013-11-11 15:43:14;15;0;26
2013-11-11 15:47:16;15;0;24
2013-11-11 15:53:55;15;0;3
2013-11-11 15:55:00;15;0;6
2013-11-11 16:07:22;16;0;19
2013-11-11 16:16:29;16;0;11
2013-11-11 16:37:16;16;0;2
2013-11-11 16:37:53;16;0;2
2013-11-11 16:40:11;16;0;1
2013-11-11 16:59:11;16;0;15
2013-11-11 17:02:34;17;0;2
2013-11-11 17:04:27;17;0;1
2013-11-11 17:07:40;17;0;1
2013-11-11 17:11:42;17;0;9
2013-11-11 17:56:22;17;0;5
2013-11-11 18:36:52;18;0;5
2013-11-11 18:37:43;18;0;3
2013-11-11 18:38:43;18;0;4
2013-11-11 18:40:17;18;0;1
2013-11-11 18:41:43;18;0;19
2013-11-11 18:41:58;18;0;3
2013-11-11 18:42:06;18;0;37
2013-11-11 18:53:01;18;0;41
2013-11-11 18:55:16;18;0;2
2013-11-11 19:17:18;19;0;32
2013-11-11 19:23:59;19;0;37
2013-11-11 19:24:50;19;0;1
2013-11-11 19:25:00;19;0;6
2013-11-11 19:25:26;19;0;3
2013-11-11 19:26:06;19;0;2
2013-11-11 19:26:16;19;0;2
2013-11-11 20:07:23;20;0;1
2013-11-11 20:09:24;20;0;6
2013-11-11 20:17:25;20;0;7
2013-11-11 20:43:07;20;0;3
2013-11-11 20:54:55;20;0;29
2013-11-11 20:56:01;20;0;8
2013-11-11 21:00:56;21;0;1
2013-11-11 21:02:05;21;0;20
2013-11-11 21:04:34;21;0;30
2013-11-11 21:14:45;21;0;7
2013-11-11 22:19:04;22;0;6
2013-11-11 22:19:28;22;0;5
2013-11-11 22:28:23;22;0;5
2013-11-12 00:10:21;0;1;8
2013-11-12 00:21:38;0;1;31
