id;url;saldo_actual;category;points_per_view;release_date;release_date_youtube;duracion;release_difference;total_views;points_given;shares_first_day;shares_first_week;shares_first_month;male_shares;female_shares;total_shares;total_users_at_release;1_week_active_users_at_release;2_week_active_users_at_release;1_week_new_users_at_release;2_week_new_users_at_release;active_raffles_at_release;1_week_active_raffles;2_week_active_raffles
401;H8ol7ojcRU8;4250;MISC;30;2014-03-27 12:56:12;2014-03-25 12:16:21;121;175191;527;15750;5;5;5;3;1;5;2160;62;94;44;85;4;5;6
743;7KPU7DWRe1Y;74050;MISC;50;2014-07-31 17:25:33;2014-07-31 10:00:07;129;26726;526;25950;5;7;9;5;2;10;2568;24;35;26;54;8;8;8
450;xEJBPMcbRkk;68980;VIDEOJUEGOS;60;2014-04-09 12:52:54;2014-04-08 22:39:20;148;51214;520;31020;11;15;29;27;7;37;2232;49;85;48;75;5;6;6
693;mzMUTrTYD9s;77800;MISC;50;2014-07-04 00:11:44;2014-07-03 13:44:56;61;37608;516;22200;2;7;13;7;4;13;2479;25;40;9;22;5;5;5
373;lLaw6Bbd_So;39670;MISC;30;2014-03-20 03:33:00;2014-03-18 18:13:30;109;119970;510;10320;5;7;7;2;2;7;2116;52;81;43;73;2;5;6
79;WUO-lPubXeI;5480;DEPORTES;20;2013-11-12 00:18:20;2013-11-11 13:43:41;388;38079;508;12510;9;14;25;13;13;29;902;134;210;92;176;9;9;9
637;Iy1rumvo9xc;74750;DEPORTES;50;2014-06-09 16:58:33;2014-06-09 15:59:30;329;3543;505;25250;5;8;15;9;6;16;2432;31;55;14;31;4;4;4
746;Haik4sNCMNU;90040;CINE;30;2014-07-31 19:28:00;2014-07-31 13:00:10;155;23270;502;9960;4;6;6;3;3;9;2569;26;37;27;55;8;8;8
87;EYEHUOpwNvE;1940;DEPORTES;15;2013-11-18 14:58:27;2013-11-14 13:52:20;35;349567;495;7320;9;13;26;13;10;26;1039;164;258;146;238;8;8;8
102;mTWfqi3-3qU;8980;MISC;10;2013-11-28 19:47:51;2013-11-25 19:09:09;94;261522;493;16020;15;27;31;13;15;31;1138;110;181;80;162;7;7;7
33;Axz-XKFXDio;48;CINE;80;2013-10-21 18:30:03;2013-04-26 14:35:20;140;15393283;490;39952;20;51;92;43;66;128;548;180;263;180;333;10;11;11
38;Dxy4n0UT82o;0;MISC;40;2013-10-24 16:18:10;2013-07-03 11:06:19;116;9781911;489;20000;8;30;41;30;36;73;619;166;314;152;396;11;11;12
221;gjl07tunWsY;18890;MISC;30;2014-01-28 00:40:05;2014-01-27 10:40:26;50;50379;478;11100;3;4;4;2;1;4;1551;45;80;13;41;6;6;6
65;MNxh7umVOZ0;14910;VIDEOJUEGOS;20;2013-11-04 20:20:39;2013-11-02 16:54:57;105;185142;476;15090;8;15;36;28;23;56;806;120;241;85;256;8;9;9
511;MFXOs0lHRys;71860;MISC;60;2014-04-30 15:56:47;2014-04-25 15:58:45;104;431882;469;28140;5;9;16;7;9;17;2353;45;75;28;65;3;5;5
508;qK-LPEtbajQ;86260;DEPORTES;30;2014-04-29 19:38:03;2014-04-29 14:13:54;171;19449;460;13740;1;2;2;1;0;2;2350;47;74;34;63;3;5;5
730;SfZWFDs0LxA;86260;CINE;30;2014-07-24 14:57:21;2014-07-24 12:18:52;146;9509;459;13740;5;9;10;3;4;10;2541;16;26;27;43;1;8;8
141;EC-zB2aSXXM;3550;MISC;50;2013-12-19 16:12:10;2013-12-18 08:46:53;232;113117;456;20450;5;13;36;30;17;49;1378;86;172;35;128;5;5;5
42;j-mEnMMmSrQ;5930;DEPORTES;10;2013-10-24 23:41:38;2013-09-04 16:22:10;145;4346368;455;15790;7;20;27;19;12;34;623;164;310;137;374;11;11;12
143;51oobrY32dw;10000;NA;30;2013-12-20 03:38:18;2013-12-19 21:34:46;123;21812;452;16000;2;12;29;14;13;29;1378;74;159;26;109;5;5;5
636;HkMNOlYcpHg;38810;M;30;2014-06-09 01:01:26;2014-06-08 23:10:03;309;6683;451;13500;5;5;5;4;0;5;2430;30;54;13;29;4;4;4
4;N6vTMVwMI8A;64857;M;100;2013-07-07 00:00:00;2012-11-21 15:23:23;31;19643797;450;47623;1;26;28;64;56;151;124;78;103;68;124;0;0;0
900;Skpu5HaVkOc;86980;CINE;30;2014-11-01 20:43:29;2014-11-01 19:55:33;163;2876;448;13020;2;2;2;1;0;2;2702;5;12;1;7;0;0;0
47;NxYvJAQyH3s;4340;DEPORTES;20;2013-10-26 19:19:29;2013-10-16 20:18:16;300;860473;444;15382;7;24;43;32;24;64;671;170;311;159;370;9;9;10
52;uENITui5_jU;100000;NA;20;2013-10-29 13:30:33;2013-03-11 22:13:35;137;20013418;433;11890;2;5;20;13;10;25;733;170;301;169;347;9;10;10
737;JzcYyzCZdiM;87160;CINE;30;2014-07-28 04:40:05;2014-07-28 04:00:01;64;2404;431;12840;4;7;7;1;4;7;2553;21;29;23;49;1;8;8
402;wRipBOQl95o;96240;CINE;60;2014-03-27 16:26:14;2014-03-27 16:27:31;91;-77;427;24390;6;9;12;8;3;12;2160;63;95;44;84;4;5;6
10;KPC6UiwP6Hw;46290;MISC;70;2013-10-09 13:08:28;2013-08-16 01:31:39;65;4707409;426;33710;1;32;95;26;100;151;220;4;4;10;11;0;11;12
738;ZSzeFFsKEt4;87280;CINE;30;2014-07-28 19:26:26;2014-07-28 19:00:03;124;1583;424;12720;3;4;4;3;0;5;2559;23;32;25;53;1;8;8
824;Wd-T_YTfxDs;87850;VIAJES;30;2014-09-18 17:12:48;2014-09-11 13:44:04;62;617324;408;12150;1;1;1;0;0;1;2660;8;25;20;51;0;0;0
117;S10GMfG2NMY;8120;MISC;20;2013-12-09 12:42:35;2013-12-03 14:08:20;115;513255;400;11880;17;25;29;17;10;29;1309;149;235;120;222;6;6;6
96;Y48mUuyTkvo;17000;NA;100;2013-11-22 14:09:11;2013-11-20 22:15:14;83;143637;397;53800;7;41;91;45;37;91;1071;94;218;76;204;8;8;8
707;XvxIdkhsoqU;88090;MISC;30;2014-07-10 22:13:11;2014-07-08 21:43:14;198;174597;397;11910;2;4;4;1;1;4;2499;22;40;20;30;3;3;3
31;sm_mwNj06Uo;296;VIDEOJUEGOS;132;2013-10-18 14:54:12;2012-06-07 02:00:07;120;43073645;395;49704;26;60;115;74;63;156;489;193;221;215;279;10;11;11
921;Sf5QbUkkrs0;88690;VIDEOJUEGOS;30;2014-11-18 12:58:25;2014-11-18 02:05:06;304;39199;392;11310;1;2;2;1;0;2;2713;4;9;4;9;0;0;0
616;C5N0MDF1CYQ;988330;MISC;30;2014-05-28 19:07:55;2014-05-26 23:12:21;142;158134;389;11670;4;7;7;3;3;7;2408;40;51;15;25;6;6;6
30;epNYhbnuzCw;66682;CINE;80;2013-10-16 15:32:47;2013-07-24 19:42:35;122;7242612;387;33318;10;56;104;60;75;159;449;185;186;229;239;10;11;11
63;IkVt1s_ZFbw;104;VIDEOJUEGOS;132;2013-11-04 03:18:42;2013-06-11 14:41:54;108;12573408;387;49896;14;35;84;65;53;128;799;119;242;92;254;8;9;9
67;qnInWnRCTKk;15000;VIDEOJUEGOS;132;2013-11-05 18:33:29;2013-10-23 13:01:39;376;1143110;384;49896;12;37;98;59;52;121;817;122;235;82;246;9;9;9
444;i41FVf7Jl4E;154760;VIDEOJUEGOS;120;2014-04-08 14:31:05;2014-03-21 21:49:57;75;1528868;379;45240;6;18;20;21;12;34;2223;48;87;40;71;4;6;6
489;jidziKYG9jk;88720;MISC;30;2014-04-22 23:37:47;0000-00-00 00:00:00;0;-1;376;11280;4;4;4;2;0;4;2316;46;88;29;89;4;4;6
