duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
101;-1;57;5;16;8;20;1558;137;16;6;0;0;2;20;0.28
223;115788;71;5;5;5;5;1558;81;13;6;32.2;1;2;5;0.4
128;-1;8;3;5;4;9;1558;96;13;6;0;0;0;9;0.35
61;280489;13;2;2;2;2;1563;96;14;6;77.9;3;1;2;0.33
121;-1;12;2;2;2;2;1563;129;14;6;0;0;1;2;0.54
44;47904;23;3;5;4;5;1563;135;13;6;13.3;1;1;5;0.43
151;52954;6;5;7;6;7;1563;106;13;6;14.7;1;0;7;0.41
230;57079;20;5;7;6;7;1564;100;14;6;15.9;1;3;7;0.63
103;1113337;52;3;4;4;4;1565;98;15;6;309.3;13;0;4;0.53
87;-1;32;3;13;6;20;1566;92;16;6;0;0;1;20;0.7
108;-1;34;2;19;6;25;1566;107;15;6;0;0;1;25;0.46
31;300416;50;2;8;4;12;1566;92;15;6;83.4;3;3;12;0.74
605;116789;9;4;6;5;6;1567;97;16;6;32.4;1;2;6;0.38
420;76823;4;3;3;3;3;1571;113;14;6;21.3;1;3;3;0.73
25;-1;10;2;2;2;2;1573;118;15;6;0;0;2;86;0.73
69;690484;9;3;4;3;4;1573;93;15;6;191.8;8;1;4;0.69
194;3919194;19;3;3;3;3;1573;119;15;6;1088.7;45;1;3;0.36
200;41311;1;2;2;2;2;1573;85;15;6;11.5;0;3;2;0.43
157;226618;10;4;5;5;5;1573;53;15;6;62.9;3;3;5;0.63
105;96979;15;3;3;3;3;1573;119;15;6;26.9;1;1;3;0.28
245;948034;20;5;8;5;8;1573;90;15;6;263.3;11;1;8;0.22
266;84503;5;4;5;4;5;1573;116;15;6;23.5;1;0;5;0.73
222;17952993;22;2;5;2;5;1573;82;15;6;4986.9;208;1;5;0.78
134;443124;17;2;16;2;20;1574;91;16;6;123.1;5;3;20;0.53
78;15911;17;4;15;4;24;1574;83;12;6;4.4;0;1;24;0.36
149;-1;52;4;5;4;5;1576;95;13;6;0;0;1;5;0.73
83;14911;130;2;22;3;38;1576;98;13;6;4.1;0;1;38;0.74
47;218265;27;2;4;2;4;1576;90;12;6;60.6;3;2;4;0.64
61;272020;20;2;18;2;23;1577;110;12;6;75.6;3;1;23;0.54
104;2837915;6;2;3;2;3;1577;84;12;6;788.3;33;2;3;0.43
107;81705;9;2;3;2;8;1577;87;10;6;22.7;1;2;8;0.52
78;376586;7;2;3;2;8;1577;78;9;6;104.6;4;2;8;0.66
130;88517;26;2;8;5;14;1577;82;9;6;24.6;1;2;14;0.47
70;270475;23;2;3;3;3;1579;79;6;5;75.1;3;1;3;0.6
155;90410;16;4;8;5;11;1579;104;6;5;25.1;1;1;11;0.43
211;13424659;6;2;5;2;6;1579;82;6;5;3729.1;155;2;6;0.43
37;1735909;7;2;5;2;5;1579;111;6;5;482.2;20;2;5;0.32
45;302586;30;2;8;3;8;1579;106;6;5;84.1;4;0;8;0.69
213;43687;6;2;8;6;8;1580;133;4;5;12.1;1;2;8;0.66
127;-1;12;2;6;5;6;1583;121;6;5;0;0;0;6;0.48
71;16279;11;3;5;5;5;1583;73;6;5;4.5;0;1;5;0.49
134;289521;21;3;32;23;38;1583;93;6;5;80.4;3;1;38;0.55
20;30948;8;2;7;3;7;1583;117;6;5;8.6;0;2;7;0.47
34;-1;1;3;3;3;3;1583;84;6;5;0;0;1;71;0.85
176;66730;119;5;8;8;8;1583;86;6;5;18.5;1;2;8;0.54
159;16690;53557;9;35;33;35;1588;100;11;5;4.6;0;0;35;0.39
151;37074;13;2;9;5;9;1589;108;12;5;10.3;0;0;9;0.33
141;-1;26;7;8;8;8;1589;87;12;5;0;0;1;8;0.58
114;48089;6;6;7;7;7;1615;109;36;5;13.4;1;1;7;0.72
119;74678;17;10;24;18;29;1628;86;49;5;20.7;1;2;29;0.75
155;-1;4;4;5;5;5;1660;118;81;5;0;0;2;5;0.43
179;166106;102;6;30;23;35;1764;150;184;5;46.1;2;2;35;0.26
48;415323;20;4;12;6;12;1772;134;192;5;115.4;5;2;12;0.55
153;30736;13;3;7;3;9;1788;112;208;5;8.5;0;2;9;0.43
28;-1;21;4;6;6;6;1840;85;259;5;0;0;2;61;0.72
153;378573;19;3;9;3;11;1866;119;283;5;105.2;4;1;11;0.75
67;52405;7;2;2;2;2;1867;109;284;5;14.6;1;0;2;0.8
147;8735193;70;4;6;6;6;1941;95;358;5;2426.4;101;1;6;0.37
67;24709;8;2;6;2;7;1948;82;365;5;6.9;0;0;7;0.25
110;531683;65;6;24;13;29;1978;85;395;5;147.7;6;0;29;0.27
132;5452;3;2;2;2;2;1982;81;399;5;1.5;0;2;2;0.45
153;4038;23;6;12;7;12;1982;60;399;5;1.1;0;1;12;0.28
185;65830;14;3;12;5;12;1982;109;399;5;18.3;1;1;12;0.65
158;1240624;67;6;21;12;22;1988;120;405;5;344.6;14;0;22;0.63
119;33587;11;3;9;4;9;1990;90;407;5;9.3;0;1;9;0.77
